name,level,score,customer_id,analysis_id,skill_type
Collaboration,Intermediate,70.0,1,1759998111377,soft_skills
Problem-solving,Intermediate,70.0,1,1759998111377,soft_skills
Problem solving,Expert,95.0,2,1759998769335,soft_skills
Leadership,Advanced,80.0,2,1759998769335,soft_skills
Business Analysis,Advanced,85.0,2,1759998769335,soft_skills
Project Management,Expert,90.0,4,1760001071242,soft_skills
Stakeholder Management,Expert,88.0,4,1760001071242,soft_skills
Leadership,Expert,90.0,4,1760001071242,soft_skills
Negotiation,Advanced,80.0,4,1760001071242,soft_skills
Analytical Thinking,Advanced,80.0,4,1760001071242,soft_skills
Project Management,Expert,90.0,4,1760001127938,soft_skills
Contract Negotiation,Advanced,80.0,4,1760001127938,soft_skills
Team Leadership,Advanced,85.0,4,1760001127938,soft_skills
Stakeholder Communication,Advanced,85.0,4,1760001127938,soft_skills
Team Collaboration,Advanced,80.0,5,1760001497602,soft_skills
Communication,Intermediate,70.0,5,1760001497602,soft_skills
Written & verbal communication,Expert,90.0,6,1760001471313,soft_skills
Analytical thinking,Advanced,85.0,6,1760001471313,soft_skills
Problem-solving,Advanced,85.0,6,1760001471313,soft_skills
Customer support,Advanced,85.0,6,1760001471313,soft_skills
Documentation,Advanced,80.0,6,1760001471313,soft_skills
Research,Intermediate,70.0,3,1760001555963,soft_skills
Communication,Intermediate,65.0,3,1760001555963,soft_skills
Leadership,Advanced,85.0,7,1760002994028,soft_skills
Analytical Thinking,Advanced,85.0,7,1760002994028,soft_skills
Communication,Advanced,85.0,7,1760002994028,soft_skills
Leadership,Expert,90.0,8,1760007201087,soft_skills
Critical Thinking,Advanced,75.0,8,1760007201087,soft_skills
Communication,Advanced,75.0,8,1760007201087,soft_skills
Teamwork,Advanced,75.0,8,1760007201087,soft_skills
Leadership,Expert,95.0,9,1760007290148,soft_skills
Strategic Planning,Expert,90.0,9,1760007290148,soft_skills
Partnership Management,Advanced,85.0,9,1760007290148,soft_skills
Analytical Thinking,Expert,90.0,10,1760010233087,soft_skills
Communication of Test Results,Advanced,80.0,10,1760010233087,soft_skills
Attention to Detail,Intermediate,70.0,10,1760010233087,soft_skills
Leadership,Expert,95.0,11,1760011356037,soft_skills
Team building,Expert,90.0,11,1760011356037,soft_skills
Project management,Expert,90.0,11,1760011356037,soft_skills
Strategic planning,Expert,90.0,11,1760011356037,soft_skills
Vendor negotiation,Advanced,85.0,11,1760011356037,soft_skills
Communication,Advanced,85.0,11,1760011356037,soft_skills
Leadership,Expert,90.0,12,1760015558385,soft_skills
Critical Thinking,Advanced,75.0,12,1760015558385,soft_skills
Communication,Advanced,75.0,12,1760015558385,soft_skills
Teamwork,Advanced,75.0,12,1760015558385,soft_skills
Leadership,Expert,90.0,12,1760015600287,soft_skills
Critical Thinking,Advanced,75.0,12,1760015600287,soft_skills
Communication,Advanced,75.0,12,1760015600287,soft_skills
Teamwork,Advanced,75.0,12,1760015600287,soft_skills
Problem Solving,Advanced,80.0,13,1760015656063,soft_skills
Negotiation,Intermediate,70.0,13,1760015656063,soft_skills
Communication,Advanced,85.0,13,1760015656063,soft_skills
Client Prospecting,Advanced,85.0,14,1760015916021,soft_skills
Stakeholder Management,Advanced,80.0,14,1760015916021,soft_skills
Team Leadership,Intermediate,75.0,14,1760015916021,soft_skills
Communication,Advanced,90.0,14,1760015976285,soft_skills
Leadership,Intermediate,80.0,14,1760015976285,soft_skills
Research,Advanced,85.0,14,1760015976285,soft_skills
Customer Service & Communication,Advanced,85.0,16,1760084158935,soft_skills
Complaint & Conflict Resolution,Advanced,80.0,16,1760084158935,soft_skills
Team Leadership & Training,Advanced,80.0,16,1760084158935,soft_skills
Stakeholder Engagement,Intermediate,75.0,16,1760084158935,soft_skills
Time Management & Adaptability,Intermediate,75.0,16,1760084158935,soft_skills
Customer Service,Expert,90.0,16,1760084316257,soft_skills
Communication,Advanced,80.0,16,1760084316257,soft_skills
Team Leadership,Advanced,80.0,16,1760084316257,soft_skills
Stakeholder Engagement,Intermediate,70.0,16,1760084316257,soft_skills
Project Coordination,Advanced,80.0,16,1760084316257,soft_skills
Time Management,Advanced,80.0,16,1760084316257,soft_skills
Adaptability,Advanced,80.0,16,1760084316257,soft_skills
Conflict Resolution,Advanced,80.0,16,1760084316257,soft_skills
